次のうち、一番大きい天体はどれ？,太陽,月,火星,地球,1
福山雅治がふるさと大使を務めている都道府県はどれ？,福岡県,宮崎県,福島県,長崎県,4
タレント萩原流行。「流行」は何と読む？,りゅうこう,るぎょう,ながれ,るこう,3
次のうち、ハリー・ポッターはどこの国を舞台とした物語？,日本,イギリス,アメリカ,フランス
「ワルツ」は一般的に何拍子？,二拍子,四拍子,一拍子,三拍子,4
次のうち、生駒里奈、白石麻衣などが所属するアイドルグループはどれ？,乃木坂47,乃木坂49,乃木坂48,乃木坂46,4
矢部浩之と岡村隆史の2人からなる人気のお笑いコンビはどれ？,セブンティセブン,シックスティシックス,エイティエイト,ナインティナイン,4
2012年に上戸彩と結婚したEXILEのメンバーはだれ？,NESMITH,HIRO,ATSUSHI,TAKAHIRO,2
ユッキーナの愛称で知られるタレントはだれ？,南明奈,木下優樹菜,小池里奈,秋山莉奈,2
ウエンツ瑛士と小池徹平からなる2人組の名前は何？,WaK,EaK,EaT,WaT,4
「白戸家」のCMを放送している携帯電話会社はどこ？,NTTドコモ,ウィルコム,SoftBank,au,3
踊る大捜査線の主人公の名字は？,青烏,青鳥,青島,白鳥,3
次のSMAPの曲で、槇原敬之が作曲したものはどれ？,らいおんハート,夜空ノムコウ,世界に一つだけの花,セロリ,3
次のうち、男性声優はどれ？,時田光,サエキトモ,菊池正美,仲西環,3
高倉健が演じたことのない役は？,ゴルゴ13,佐々木小次郎,坂本龍馬,空手家,3
次のうち、宇多田ヒカルのシングル曲で存在するタイトルは？,光,灯,音,幻,1
mihimaruGTの大ヒット曲といえば？,気分上々→←,気分上々↑←,気分上々↑↑,気分上々→→,3
タカアンドトシのタカの出身地は次のうちどこ？,小樽市,札幌市,旭川市,富良野市,2
ドラえもんの色は青、では妹は？,赤色,黄色,黒色,青色,2
「十文字ラーメン」はどこのご当地ラーメン？,秋田県,岐阜県,山口県,鹿児島県,1
次のバーミヤンのメニューのうち最もカロリーが高いものはどれ？,若鶏のからあげ,フカヒレスープ,本ズワイ蟹のサラダ,海老マヨネーズ,4
「発効」の対義語はどれ？,卓効,即効,無効,失効,4
カブトムシの足の本数は？,8本,10本,6本,12本,3
東京タワーの所在する苦は？,中央区,品川区,港区,千代田区,3
大変臭い南国の果物は？,レモン,りんご,ドリアン,バナナ,3
1000円は、2500円の何割？,3割,1割,2割,4割,4
東京スカイツリーの公式マスコットキャラの名称はどれ？,スカイさん,スカリーちゃん,カストロくん,ソラカラちゃん,4
スキンケアというとき、手入れをする体の部位はどこ？,髪,目,肌,内臓,3
次のうち、アジアの国はどれ？,インドネシア,ガーナ,ノルウェー,ペルー,1
中国と国境を接していない国は？,ロシア,モンゴル,北朝鮮,アメリカ,4
Windows標準搭載のショートカットキーで、「Ctlt + X」はどんな動作をする？,ペースト,切り取り,コピー,動作しない,2
社員が任意の時間に出社・退社できる制度を何と呼ぶ？,アバウトタイム,フリータイム,フレックスタイム,ストライキ,3
次のうち、卵料理はどれ？,ちまき,すまき,うまき,えまき,3
「さくら」と呼ばれるのは何の肉？,鹿,馬,熊,猪,2
代表作に叙事詩「失楽園」がある17世紀のイギリスの詩人は？,バイロン,ワーズワース,ミルトン,チョーサー,3
和歌で、「あおによし」といえばどこにかかる枕詩？,京都,難波,奈良,近江,3
ある行為が政教分離に反していないかを判断するために作られた、アメリカ合衆国の有名な判例理論は？,スイカ・テスト,イチゴ・テスト,,レモン・テスト,メロン・テスト,3
南オセチアとアブハジアをめぐってロシアと対立している国はどこ？,アルメニア,ウクライナ,グルジア,アゼルバイジャン,3
次の世界遺産のうち、ペルーにあるのはどれ？,イグアスの滝,グランプラス,クスコ,ブルーモスク,3
このように私は聞いた」、経文の冒頭の言葉を意味する四字熟語は次のうちどれ？,如是我聞,是聞如我,我如是聞,聞我如是,1
大野市があるのは福井県ですが、大野城市があるのはどの都道府県？,鹿児島県,秋田県,福岡県,静岡県,3
諏訪大社で行われる祭りである「御柱祭」。何年と何年に行われる？,子年と未年,寅年と申年,巳年と亥年,辰年と酉年,2
代表作に叙事詩「失楽園」がある17世紀のイギリスの詩人は？,バイロン,ワーズワース,ミルトン,チョーサー,3
慣用句で、まとまった金額を不足なくそろえることを「何を揃える」という？,口,耳,顔,首,2
キウイフルーツの原産地はどこ？,中国,カナダ,ニュージーランド,オーストラリア,1
アフリカ大陸で最も大きい国は？,南アフリカ共和国,アルジェリア,マリ,ナイジェリア,2
律令制度において、現在の刑法に相当するのは何？,式,令,律,格,3
旗の色から連想された、共産主義のシンボルである色は何色？,白,黒,青,赤,4
律令制度において、現在の刑法に相当するのは何？,式,令,律,格,3
経済学の父とよばれている人物は次のうちどれ？,アンドレス・セゴビア,アダム・スミス,アントニオ・イノキ,山田太郎,2
1974年、アメリカの現職の大統領として初めて日本を公式訪問したのは誰？,フォード,ジョンソン,カーター,ニクソン,1
ナイル川の流域に位置する国ではないのは、次の何どれ？,ケニア,アラブ首長国連邦,ウガンダ,エジプト,2
諏訪大社で行われる祭りである「御柱祭」。何年と何年に行われる？,子年と未年,寅年と申年,巳年と亥年,辰年と酉年,2
日本海を北から南へと流れる寒流はどれ？,日本海流,リマン海流,対馬海流,千島海流,2
三世一身の法が出されたのはいつ？,710年,718年,723年,743年,3
